CHANNEL_ID,CHANNEL_TITLE,CHANNEL_VIEWS,COUNTRY,RELEVANCE,SUBS,CHANNEL_LIFETIME_DAILY_VIEWS,CHANNEL_LIFETIME_DAILY_VIEWS_RELEVANT,CHANNEL_VIDEO_VIEWS,RELEVANT_IMPRESSIONS_DAILY,RELEVANT_IMPRESSIONS_IN_DAILY,VIDEO_VIEWS_DAILY,RELEVANT_VIDEO_VIEWS_DAILY,AVG_MINUTES,FROM_DATE,TO_DATE,LR,TAGS,IDEOLOGY,MEDIA,LOGO_URL
UCDG7_piIA5baWqIvtOQ-trA,KCET,21319842,US,0.8,93900,4277.694208,4277.694208,21123254,1739.08247949,5705.355294674,7819.483243243,6255.586594595,10.914753,2008-11-03T00:00:00.0000000Z,2022-05-12T00:00:00.0000000Z,L,"[
  ""Mainstream News"",
  ""PartisanLeft""
]",Partisan Left,Mainstream Media,https://yt3.ggpht.com/ytc/AKedOLSgrrDf08aVDdAyaRpYx6dP-U6eD7Rofw9Fn-EZRA=s88-c-k-c0x00ffffff-no-rj
UCqrfQtkbIsQ6p3hC8oKH99w,Lisa Haven Vlogs,123769,US,0.95,21100,96.603744,96.603744,123846,33.872761839,0.740026327,8.355675676,7.937891892,9.192308,2017-10-09T00:00:00.0000000Z,2021-04-13T00:00:00.0000000Z,R,"[
  ""PartisanRight""
]",Partisan Right,YouTube,https://yt3.ggpht.com/ytc/AKedOLSnqq5S44pPyW8a5hVoVxuh7aZJ2vXQygkn6Cmt=s88-c-k-c0x00ffffff-no-rj
UCY2BjyN1fEe1JIE3J2xzMUw,TMHQ TRUMPMAFIA,3654688,US,0.9,39700,3586.517656,3586.517656,9547310,2425.450734061,40.660155028,1052.435675676,947.192108108,24.951049,2015-01-29T00:00:00.0000000Z,2022-05-14T00:00:00.0000000Z,R,"[
  ""PartisanRight""
]",Partisan Right,YouTube,https://yt3.ggpht.com/ytc/AKedOLQTzMZOpzqC-sX3Mop_pz2SJxZfeqlmgof7zLUrdQ=s88-c-k-c0x00ffffff-no-rj
UCS_OS1h5sJ0o012RJX98_jw,daryl lawson,6008839,,1,26000,1296.227696,1296.227696,6131157,1248.600772919,120.087978849,616.873513514,616.873513514,60.492505,2009-05-30T00:00:00.0000000Z,2022-05-12T00:00:00.0000000Z,R,"[
  ""Conspiracy"",
  ""PartisanRight""
]",Conspiracy,YouTube,https://yt3.ggpht.com/YhbsVcahozycNMan84HNhLl051ht2vDVO-QTru_Pj09Br2aBd-Bx5BjwmScozzCVJzL8ELoqMiA=s88-c-k-c0x00ffffff-no-rj
UCuq9SY7ddVnVJ7iMMuoh0Ow,Hebrews to Negroes TV aka MOSES LEVI,2156995,US,0.95,37300,1582.432172,1582.432172,2134701,2095.454590214,512.144041134,1593.297297297,1513.632432432,81.921642,2018-08-26T00:00:00.0000000Z,2022-05-06T00:00:00.0000000Z,C,"[
  ""Black"",
  ""Conspiracy"",
  ""ReligiousConservative""
]",Conspiracy,YouTube,https://yt3.ggpht.com/ytc/AKedOLS8aky1VZPEuB0RNSr3RA3DN7dnjqeSwlBfkxcSRA=s88-c-k-c0x00ffffff-no-rj
UCJm2TgUqtK1_NLBrjNQ1P-w,Second Thought,128036390,US,0.8,1250000,62727.696613,62727.696613,127776318,65286.949547928,65189.548650482,49871.857297297,39897.485837838,9.329966,2016-10-14T00:00:00.0000000Z,2022-05-13T00:00:00.0000000Z,L,"[
  ""Educational"",
  ""Socialist""
]",Socialist,YouTube,https://yt3.ggpht.com/-MxKThvuF8f8aAmyApx5X5rAaDbFhxXvFDtx2rjGpbkaT2bU4oE72Ez6Licz1AV_h9Ks1sAxcqA=s88-c-k-c0x00ffffff-no-rj
UCAnRNCf5m5I0pEdqYMfGOgA,Hard-to-Find Mormon Videos,3718764,US,0.5666666667,28500,2449.630946,2449.630946,4274606,49.468582941,171.776573515,1263.375135135,715.912576577,19.699408,2015-10-09T00:00:00.0000000Z,2020-07-19T00:00:00.0000000Z,R,"[
  ""OrganizedReligion""
]",Unclassified,YouTube,https://yt3.ggpht.com/ytc/AKedOLRoHoiLD0S1SuMF9J5V3zUQrk8EKtlhQfi46b4k=s88-c-k-c0x00ffffff-no-rj
UC-KTrAqt2784gL_I4JisF1w,greenman3610,3910077,,1,16800,871.146581,871.146581,3910577,7.001684119,40.076972028,58.451891892,58.451891892,6.308108,2009-01-21T00:00:00.0000000Z,2021-05-07T13:49:41.8401657Z,C,"[
  ""AntiTheist""
]",Anti-theist,YouTube,https://yt3.ggpht.com/ytc/AKedOLQ5Rb2SaniZkJvzeBThH2dlcxZBbCdVDqiXGg=s88-c-k-c0x00ffffff-no-rj
UCsD-Qms-AkXDrsU962OicLw,The New Yorker,182819984,,0.9,718000,32468.030537,32468.030537,180749526,80121.135692503,179536.838293952,67607.448648649,60846.703783784,11.893781,2007-02-14T23:47:17.0000000Z,2022-05-13T00:00:00.0000000Z,L,"[
  ""Mainstream News"",
  ""PartisanLeft""
]",Partisan Left,Mainstream Media,https://yt3.ggpht.com/ytc/AKedOLSf_ULiXHR0j7ZFxlWYgNCpu3Aog4Vi6rmvLVLeyQ=s88-c-k-c0x00ffffff-no-rj
UCADso8k7tSZT3HpD4ZK3W9Q,Trump War Room,27782837,US,1,70500,45878.437294,45878.437294,27802333,19658.620000714,9359.843663103,29594.372972973,29594.372972973,0.476909,2019-06-18T00:00:00.0000000Z,2021-02-13T00:00:00.0000000Z,R,"[
  ""PartisanRight""
]",Partisan Right,YouTube,https://yt3.ggpht.com/ytc/AKedOLQTAS637JFOWLvRscMh-07Xm6uAY2vw_iX5ch2g=s88-c-k-c0x00ffffff-no-rj
